"File","SUM_LOC+","MAX_LOC+","SUM_LOC-","MAX_LOC-","MAX_SET","AVG_SET","NO_REV","SUM_CHRN","MAX_CHRN","Age","CountOfDeveloper","REF","BUG"
"src/main/org/apache/tools/ant/AntClassLoader.java",66.00,64,68.00,66,34,31.50,2,134.00,130,28.42,2,"FALSE","FALSE"
"src/main/org/apache/tools/ant/AntTypeDefinition.java",19.00,16,19.00,16,135,82.00,2,38.00,32,40.71,2,"FALSE","FALSE"
"src/main/org/apache/tools/ant/ArgumentProcessor.java",72.00,72,0.00,0,3,3.00,1,72.00,72,24.57,1,"FALSE","FALSE"
"src/main/org/apache/tools/ant/ArgumentProcessorRegistry.java",168.00,168,0.00,0,3,3.00,1,168.00,168,24.57,1,"FALSE","FALSE"
"src/main/org/apache/tools/ant/attribute/AttributeNamespace.java",29.00,26,1.00,1,13,11.50,2,30.00,26,-8.42,2,"FALSE","FALSE"
"src/main/org/apache/tools/ant/attribute/BaseIfAttribute.java",86.00,85,0.00,0,13,11.50,2,86.00,85,-8.42,2,"FALSE","FALSE"
"src/main/org/apache/tools/ant/attribute/EnableAttribute.java",36.00,34,1.00,1,13,11.50,2,37.00,34,-8.42,2,"FALSE","FALSE"
"src/main/org/apache/tools/ant/attribute/IfBlankAttribute.java",39.00,38,0.00,0,13,11.50,2,39.00,38,-8.42,2,"FALSE","FALSE"
"src/main/org/apache/tools/ant/attribute/IfSetAttribute.java",39.00,38,0.00,0,13,11.50,2,39.00,38,-8.42,2,"FALSE","FALSE"
"src/main/org/apache/tools/ant/attribute/IfTrueAttribute.java",41.00,40,0.00,0,13,11.50,2,41.00,40,-8.42,2,"FALSE","FALSE"
"src/main/org/apache/tools/ant/BuildException.java",1.00,1,2.00,2,29,29.00,1,3.00,3,28.42,1,"FALSE","FALSE"
"src/main/org/apache/tools/ant/ComponentHelper.java",97.00,86,136.00,134,135,44.50,4,233.00,220,56.57,4,"FALSE","FALSE"
"src/main/org/apache/tools/ant/DefaultDefinitions.java",77.00,75,1.00,1,13,11.50,2,78.00,75,-8.42,2,"FALSE","FALSE"
"src/main/org/apache/tools/ant/DemuxOutputStream.java",2.00,2,1.00,1,29,29.00,1,3.00,3,28.42,1,"FALSE","FALSE"
"src/main/org/apache/tools/ant/Diagnostics.java",6.00,6,6.00,6,29,29.00,1,12.00,12,28.42,1,"FALSE","FALSE"
"src/main/org/apache/tools/ant/DirectoryScanner.java",62.00,43,61.00,50,29,10.33,3,123.00,93,58.71,2,"FALSE","FALSE"
"src/main/org/apache/tools/ant/dispatch/DispatchUtils.java",1.00,1,1.00,1,78,78.00,1,2.00,2,28.28,1,"FALSE","FALSE"
"src/main/org/apache/tools/ant/DynamicObjectAttribute.java",41.00,41,0.00,0,4,4.00,1,41.00,41,31.42,1,"FALSE","FALSE"
"src/main/org/apache/tools/ant/Evaluable.java",29.00,29,0.00,0,4,4.00,1,29.00,29,31.42,1,"FALSE","FALSE"
