"File","SUM_LOC+","MAX_LOC+","SUM_LOC-","MAX_LOC-","MAX_SET","AVG_SET","NO_REV","SUM_CHRN","MAX_CHRN","Age","CountOfDeveloper","REF","BUG"
"proposal/embed/src/java/org/apache/tools/ant/helper/ProjectHelperImpl2.java",222.00,149,40.00,27,4,1.75,8,262.00,176,-1.57,1,"FALSE","TRUE"
"proposal/embed/src/java/org/apache/tools/ant/helper/TaskAdapter2.java",72.00,52,52.00,52,1,1.00,2,124.00,72,-1.57,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/ProjectComponentFactory.java",2.00,2,0.00,0,2,2.00,1,2.00,2,-12.57,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/ProjectComponentHelper.java",2.00,2,0.00,0,2,2.00,1,2.00,2,-12.57,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/PropertyHelper.java",237.00,223,14.00,13,6,2.80,5,251.00,223,-1.57,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/PropertyHelper2.java",219.00,219,0.00,0,6,6.00,1,219.00,219,-23.71,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/PropertyInterceptor.java",21.00,12,12.00,12,4,2.50,2,33.00,21,-1.57,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/RuntimeConfigurable2.java",327.00,237,240.00,224,179,24.25,8,567.00,276,-1.57,2,"FALSE","TRUE"
"proposal/embed/src/java/org/apache/tools/ant/taskdefs/Description.java",93.00,93,0.00,0,2,2.00,1,93.00,93,-13.57,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/taskdefs/Import.java",3.00,3,0.00,0,2,2.00,1,3.00,3,-1.57,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/taskdefs/optional/JexlProperties.java",142.00,107,26.00,24,6,4.50,4,168.00,107,-6.57,1,"FALSE","TRUE"
"proposal/embed/src/java/org/apache/tools/ant/taskdefs/optional/JXPath.java",319.00,151,112.00,52,6,3.00,8,431.00,151,-1.57,1,"FALSE","TRUE"
"proposal/embed/src/java/org/apache/tools/ant/taskdefs/optional/JXPathSet.java",124.00,112,5.00,5,4,4.00,3,129.00,112,-6.57,1,"FALSE","TRUE"
"proposal/embed/src/java/org/apache/tools/ant/taskdefs/optional/TaskDiscovery.java",13.00,7,7.00,7,1,1.00,2,20.00,13,-12.57,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/taskdefs/optional/VelocityProperties.java",164.00,115,34.00,30,6,4.50,4,198.00,115,-6.57,1,"FALSE","TRUE"
"proposal/embed/src/java/org/apache/tools/ant/taskdefs/ServiceDiscoveryTask.java",0.00,0,0.00,0,1,1.00,1,0.00,0,-6.57,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/taskdefs/SystemPath.java",27.00,13,10.00,8,3,1.75,4,37.00,21,-1.57,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/taskdefs/Taskdef2.java",352.00,351,1.00,1,179,91.00,2,353.00,351,-1.57,2,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/taskdefs/XMLDOM.java",1.00,1,0.00,0,1,1.00,1,1.00,1,-12.57,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/tasks/optional/JXPath.java",0.00,0,0.00,0,1,1.00,1,0.00,0,-1.57,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/types/XMLDOM.java",141.00,141,0.00,0,2,2.00,1,141.00,141,-4.14,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/UnknownElement2.java",11.00,6,2.00,1,179,36.60,5,13.00,6,-12.57,2,"TRUE","TRUE"
"proposal/mutant/src/java/antcore/org/apache/ant/antcore/antlib/AntLibException.java",136.00,136,0.00,0,83,83.00,1,136.00,136,7.00,1,"FALSE","FALSE"
"proposal/mutant/src/java/antcore/org/apache/ant/antcore/antlib/AntLibHandler.java",12.00,7,8.00,4,83,38.66,3,20.00,9,8.85,1,"FALSE","FALSE"
"proposal/mutant/src/java/antcore/org/apache/ant/antcore/antlib/AntLibManager.java",200.00,139,141.00,119,83,30.60,5,341.00,258,10.71,1,"FALSE","TRUE"
