"File","SUM_LOC+","MAX_LOC+","SUM_LOC-","MAX_LOC-","MAX_SET","AVG_SET","NO_REV","SUM_CHRN","MAX_CHRN","Age","CountOfDeveloper","REF","BUG"
"proposal/embed/src/java/org/apache/tools/ant/helper/ProjectHelperImpl2.java",1.00,1,3.00,2,896,450.00,2,4.00,2,-11.71,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/helper/TaskAdapter2.java",0.00,0,1.00,1,896,896.00,1,1.00,1,-11.71,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/ProjectComponentFactory.java",1.00,1,2.00,1,896,450.00,2,3.00,2,-11.71,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/ProjectComponentHelper.java",1.00,1,2.00,1,896,450.00,2,3.00,2,-11.71,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/PropertyHelper.java",1.00,1,2.00,1,896,450.00,2,3.00,2,-11.71,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/RuntimeConfigurable2.java",3.00,3,4.00,2,896,448.50,2,7.00,5,36.00,2,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/taskdefs/Description.java",0.00,0,1.00,1,896,896.00,1,1.00,1,-11.71,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/taskdefs/Import.java",0.00,0,3.00,3,896,896.00,1,3.00,3,-11.71,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/taskdefs/optional/JexlProperties.java",0.00,0,1.00,1,896,896.00,1,1.00,1,-11.71,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/taskdefs/optional/JXPath.java",1.00,1,3.00,2,896,448.50,2,4.00,2,28.00,2,"FALSE","TRUE"
"proposal/embed/src/java/org/apache/tools/ant/taskdefs/optional/JXPathSet.java",0.00,0,1.00,1,896,896.00,1,1.00,1,-11.71,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/taskdefs/optional/TaskDiscovery.java",0.00,0,1.00,1,896,896.00,1,1.00,1,-11.71,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/taskdefs/optional/VelocityProperties.java",0.00,0,1.00,1,896,896.00,1,1.00,1,-11.71,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/taskdefs/SystemPath.java",0.00,0,1.00,1,896,896.00,1,1.00,1,-11.71,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/taskdefs/Taskdef2.java",2.00,2,4.00,2,896,448.50,2,6.00,4,24.85,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/taskdefs/XMLDOM.java",0.00,0,1.00,1,896,896.00,1,1.00,1,-11.71,1,"FALSE","FALSE"
"proposal/embed/src/java/org/apache/tools/ant/UnknownElement2.java",0.00,0,2.00,2,896,896.00,1,2.00,2,-11.71,1,"FALSE","FALSE"
"proposal/sandbox/antlib/src/main/org/apache/tools/ant/ComponentHelper.java",651.00,651,0.00,0,2,2.00,1,651.00,651,31.28,1,"FALSE","FALSE"
"proposal/sandbox/antlib/src/main/org/apache/tools/ant/IntrospectionHelper.java",449.00,449,180.00,180,2,2.00,1,629.00,629,37.28,1,"FALSE","FALSE"
"proposal/sandbox/antlib/src/main/org/apache/tools/ant/Project.java",1492.00,824,1004.00,902,2,1.40,5,2496.00,1726,37.28,2,"FALSE","FALSE"
"proposal/sandbox/antlib/src/main/org/apache/tools/ant/SymbolTable.java",2.00,2,2.00,2,1,1.00,1,4.00,4,33.57,1,"FALSE","TRUE"
"proposal/sandbox/antlib/src/main/org/apache/tools/ant/taskdefs/Ant.java",315.00,315,117.00,117,1,1.00,1,432.00,432,33.42,1,"FALSE","FALSE"
"proposal/sandbox/antlib/src/main/org/apache/tools/ant/taskdefs/Antjar.java",6.00,6,8.00,8,2,2.00,1,14.00,14,37.28,1,"FALSE","FALSE"
"proposal/sandbox/antlib/src/main/org/apache/tools/ant/taskdefs/Antlib.java",25.00,25,31.00,31,2,2.00,1,56.00,56,37.28,1,"FALSE","FALSE"
"proposal/sandbox/antunit/src/main/org/apache/ant/antlib/antunit/AssertionFailedException.java",0.00,0,0.00,0,3,3.00,1,0.00,0,-69.00,1,"FALSE","FALSE"
