"File","SUM_LOC+","MAX_LOC+","SUM_LOC-","MAX_LOC-","MAX_SET","AVG_SET","NO_REV","SUM_CHRN","MAX_CHRN","Age","CountOfDeveloper","REF","BUG"
"proposal/embed/src/java/org/apache/tools/ant/taskdefs/optional/TaskDiscovery.java",4.00,4,4.00,4,1,1.00,1,8.00,8,43.14,1,"FALSE","TRUE"
"proposal/xdocs/src/org/apache/ant/xdoclet/TaskTagsHandler.java",3.00,3,3.00,3,2,2.00,1,6.00,6,54.14,1,"FALSE","FALSE"
"src/etc/testcases/core/containersrc/test/SpecialSeq.java",6.00,6,5.00,5,294,294.00,1,11.00,11,15.57,1,"FALSE","FALSE"
"src/etc/testcases/core/loaderref/src/Task1.java",16.00,16,0.00,0,19,19.00,1,16.00,16,-64.85,1,"FALSE","FALSE"
"src/etc/testcases/taskdefs/apt/AptExample.java",6.00,6,5.00,5,294,294.00,1,11.00,11,15.57,1,"FALSE","FALSE"
"src/etc/testcases/taskdefs/apt/Distributed.java",6.00,6,5.00,5,294,294.00,1,11.00,11,15.57,1,"FALSE","FALSE"
"src/etc/testcases/taskdefs/apt/DistributedAnnotationFactory.java",6.00,6,5.00,5,294,294.00,1,11.00,11,15.57,1,"FALSE","FALSE"
"src/etc/testcases/taskdefs/apt/DistributedAnnotationProcessor.java",6.00,6,5.00,5,294,294.00,1,11.00,11,15.57,1,"FALSE","FALSE"
"src/etc/testcases/taskdefs/javadoc/java/ClassToJavadoc.java",45.00,39,5.00,5,294,148.00,2,50.00,39,45.85,1,"FALSE","FALSE"
"src/etc/testcases/taskdefs/manifestclasspath/Alpha.java",21.00,16,0.00,0,19,11.00,2,21.00,16,52.14,2,"FALSE","FALSE"
"src/etc/testcases/taskdefs/manifestclasspath/Beta.java",25.00,16,0.00,0,19,11.00,2,25.00,16,52.14,2,"FALSE","FALSE"
"src/etc/testcases/taskdefs/optional/depend/src1/A.java",16.00,16,0.00,0,19,19.00,1,16.00,16,-64.85,1,"FALSE","FALSE"
"src/etc/testcases/taskdefs/optional/depend/src1/B.java",16.00,16,0.00,0,19,19.00,1,16.00,16,-64.85,1,"FALSE","FALSE"
"src/etc/testcases/taskdefs/optional/depend/src1/C.java",16.00,16,0.00,0,19,19.00,1,16.00,16,-64.85,1,"FALSE","FALSE"
"src/etc/testcases/taskdefs/optional/depend/src1/D.java",16.00,16,0.00,0,19,19.00,1,16.00,16,-64.85,1,"FALSE","FALSE"
"src/etc/testcases/taskdefs/optional/depend/src1/E.java",16.00,16,0.00,0,19,19.00,1,16.00,16,-64.85,1,"FALSE","FALSE"
"src/etc/testcases/taskdefs/optional/depend/src2/A.java",16.00,16,0.00,0,19,19.00,1,16.00,16,-64.85,1,"FALSE","FALSE"
"src/etc/testcases/taskdefs/optional/depend/src2/B.java",16.00,16,0.00,0,19,19.00,1,16.00,16,-64.85,1,"FALSE","FALSE"
"src/etc/testcases/taskdefs/optional/depend/src3/A.java",16.00,16,0.00,0,19,19.00,1,16.00,16,-64.85,1,"FALSE","FALSE"
"src/etc/testcases/taskdefs/optional/depend/src3/B.java",16.00,16,0.00,0,19,19.00,1,16.00,16,-64.85,1,"FALSE","FALSE"
"src/etc/testcases/taskdefs/optional/depend/src4/test/ContainsOnlyInner.java",16.00,16,0.00,0,19,19.00,1,16.00,16,-64.85,1,"FALSE","FALSE"
"src/etc/testcases/taskdefs/optional/depend/src4/test/MethodParam.java",16.00,16,0.00,0,19,19.00,1,16.00,16,-64.85,1,"FALSE","FALSE"
"src/etc/testcases/taskdefs/optional/depend/src4/test/Outer.java",16.00,16,0.00,0,19,19.00,1,16.00,16,-64.85,1,"FALSE","FALSE"
"src/etc/testcases/taskdefs/optional/depend/src5/A.java",16.00,16,0.00,0,19,19.00,1,16.00,16,-64.85,1,"FALSE","FALSE"
"src/etc/testcases/taskdefs/optional/depend/src5/B.java",16.00,16,0.00,0,19,19.00,1,16.00,16,-64.85,1,"FALSE","FALSE"
"src/etc/testcases/taskdefs/optional/dotnet/jsharp.java",6.00,6,5.00,5,294,294.00,1,11.00,11,15.57,1,"FALSE","FALSE"
"src/etc/testcases/taskdefs/optional/javah/input/org/example/Foo.java",6.00,6,5.00,5,294,294.00,1,11.00,11,15.57,1,"FALSE","FALSE"
"src/etc/testcases/taskdefs/rmic/src/AntTimestamp.java",6.00,6,5.00,5,294,294.00,1,11.00,11,15.57,1,"FALSE","FALSE"
"src/etc/testcases/taskdefs/rmic/src/RemoteTimestamp.java",6.00,6,5.00,5,294,294.00,1,11.00,11,15.57,1,"FALSE","FALSE"
"src/etc/testcases/taskdefs/rmic/src/RemoteTimestampImpl.java",6.00,6,5.00,5,294,294.00,1,11.00,11,15.57,1,"FALSE","FALSE"
"src/etc/testcases/types/assertions/AssertionMain.java",6.00,6,5.00,5,294,294.00,1,11.00,11,15.57,1,"FALSE","FALSE"
"src/etc/testcases/types/assertions/AssertionTest.java",6.00,6,5.00,5,294,294.00,1,11.00,11,15.57,1,"FALSE","FALSE"
"src/main/org/apache/tools/ant/AntClassLoader.java",343.00,83,374.00,186,757,39.04,23,717.00,269,60.71,8,"FALSE","TRUE"
"src/main/org/apache/tools/ant/AntTypeDefinition.java",41.00,21,22.00,8,757,159.40,5,63.00,23,64.71,3,"FALSE","TRUE"
"src/main/org/apache/tools/ant/BuildEvent.java",16.00,6,12.00,5,757,162.80,5,28.00,11,16.85,5,"FALSE","TRUE"
"src/main/org/apache/tools/ant/BuildException.java",8.00,6,6.00,5,757,255.33,3,14.00,11,15.57,3,"FALSE","TRUE"
"src/main/org/apache/tools/ant/BuildListener.java",7.00,6,5.00,5,757,382.00,2,12.00,11,15.57,2,"FALSE","FALSE"
"src/main/org/apache/tools/ant/BuildLogger.java",6.00,6,5.00,5,757,757.00,1,11.00,11,15.57,1,"FALSE","FALSE"
"src/main/org/apache/tools/ant/ComponentHelper.java",536.00,66,410.00,89,757,27.12,32,946.00,148,70.42,6,"TRUE","TRUE"
"src/main/org/apache/tools/ant/DefaultLogger.java",92.00,34,22.00,8,757,82.20,10,114.00,36,70.00,7,"FALSE","TRUE"
"src/main/org/apache/tools/ant/DemuxInputStream.java",6.00,6,5.00,5,757,757.00,1,11.00,11,15.57,1,"FALSE","FALSE"
"src/main/org/apache/tools/ant/DemuxOutputStream.java",6.00,6,5.00,5,757,757.00,1,11.00,11,15.57,1,"FALSE","FALSE"
"src/main/org/apache/tools/ant/Diagnostics.java",291.00,77,133.00,44,757,67.00,12,424.00,81,64.71,5,"FALSE","TRUE"
"src/main/org/apache/tools/ant/DirectoryScanner.java",135.00,32,116.00,42,757,56.50,16,251.00,71,71.57,8,"TRUE","TRUE"
"src/main/org/apache/tools/ant/dispatch/Dispatchable.java",6.00,6,5.00,5,757,757.00,1,11.00,11,15.57,1,"FALSE","FALSE"
