file_name,number_of_sections,number_of_imports,number_of_exports,entry_point,image_base,file_size,timestamp,number_of_rva_and_sizes,check_sum,dll_characteristics,size_of_code,size_of_initialized_data,size_of_uninitialized_data,section_alignment,file_alignment,size_of_image,size_of_headers,characteristics,machine,number_of_symbols,hash,label
cywing.exe,3,13,0,5228176,4194304,1394195,0,16,0,0,1327104,69632,3903488,4096,512,5304320,4096,46,34404,0,4bb9470533210d8db015b7783a52cae9,benign
Git-2.42.0.2-64-bit(1).exe,10,7,3,745196,4194304,61263968,1676472856,16,61274961,33088,741888,124416,0,4096,512,921600,1024,33167,332,0,a91a6eddbd919068c16f0f8f92c907f0,benign
